position,Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,spotify_track_id,spotify_uri,spotify_album,spotify_year,curated_year,status,notes
91,Salta!!!,Tequila,Confidencial/New Booklet,HITSTER - DIY,Playlist,ES5109900073,0M2tanh26PWePnaGVV3h3y,0M2tanh26PWePnaGVV3h3y,spotify:track:0M2tanh26PWePnaGVV3h3y,Confidencial/New Booklet,,1981,pending,
92,No me importa nada,Luz Casal,Luz V,HITSTER - DIY,Playlist,ES5088903448,77eDrs7w2utSdbBdpbefol,77eDrs7w2utSdbBdpbefol,spotify:track:77eDrs7w2utSdbBdpbefol,Luz V,,1989,pending,
93,Never Ending Story,Limahl,Don't Suppose,HITSTER - DIY,Playlist,GBAYE8400104,1F43XlPBiwAUUIhrUGzylO,1F43XlPBiwAUUIhrUGzylO,spotify:track:1F43XlPBiwAUUIhrUGzylO,Don't Suppose,,1984,pending,
94,Mi Carro,Manolo Escobar,"La Copla, Vol.4",HITSTER - DIY,Playlist,ES5378900022,0Uzf6J45f8K4qaVppjVb6N,0Uzf6J45f8K4qaVppjVb6N,spotify:track:0Uzf6J45f8K4qaVppjVb6N,"La Copla, Vol.4",,1969,pending,
95,Aquí No Hay Playa,The Refrescos,The Refrescos,HITSTER - DIY,Playlist,ES5709900391,4PRJD9T23GQKQYKhJQcGGY,4PRJD9T23GQKQYKhJQcGGY,spotify:track:4PRJD9T23GQKQYKhJQcGGY,The Refrescos,,1989,pending,
96,Fly Away,Lenny Kravitz,5,HITSTER - DIY,Playlist,USVI29800169,1OxcIUqVmVYxT6427tbhDW,1OxcIUqVmVYxT6427tbhDW,spotify:track:1OxcIUqVmVYxT6427tbhDW,5,,1998,pending,
97,All That She Wants,Ace of Base,The Sign,HITSTER - DIY,Playlist,SEVJH0803401,6kWJvPfC4DgUpRsXKNa9z9,6kWJvPfC4DgUpRsXKNa9z9,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,The Sign,,1992,pending,
98,Lean On,Major Lazer,Peace Is The Mission : Extended,HITSTER - DIY,Playlist,QMUY41500008,2YWjW3wwQIBLNhxWKBQd16,2YWjW3wwQIBLNhxWKBQd16,spotify:track:2YWjW3wwQIBLNhxWKBQd16,Peace Is The Mission : Extended,,2015,pending,
99,Lovefool,The Cardigans,First Band On The Moon (Remastered),HITSTER - DIY,Playlist,SEBKB9629380,7aQjPecQdIuNd1sz3KCDhD,7aQjPecQdIuNd1sz3KCDhD,spotify:track:7aQjPecQdIuNd1sz3KCDhD,First Band On The Moon (Remastered),,1996,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
100,Mi gran noche,Raphael,Digan Lo Que Digan: Banda Sonora Original De La Pe,HITSTER - DIY,Playlist,ES5086900217,6Tnnk7MAnZiDx67DJN2hnx,6Tnnk7MAnZiDx67DJN2hnx,spotify:track:6Tnnk7MAnZiDx67DJN2hnx,Digan Lo Que Digan: Banda Sonora Original De La Pe,,1967,pending,
101,La Revolución Sexual,La Casa Azul,La Revolución Sexual,HITSTER - DIY,Playlist,ES6640700035,5zHvsFZoCzLmhbRbYDkg42,5zHvsFZoCzLmhbRbYDkg42,spotify:track:5zHvsFZoCzLmhbRbYDkg42,La Revolución Sexual,,2007,pending,
102,Flashdance...What a Feeling - Radio Edit,Irene Cara,What a Feelin',HITSTER - DIY,Playlist,CAU118300354,3cbV252akVZInSvJk7jAYX,3cbV252akVZInSvJk7jAYX,spotify:track:3cbV252akVZInSvJk7jAYX,What a Feelin',,1983,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
103,A Thousand Miles,Vanessa Carlton,Be Not Nobody,HITSTER - DIY,Playlist,USIR10210955,4w1lzcaoZ1IC2K5TwjalRP,4w1lzcaoZ1IC2K5TwjalRP,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,Be Not Nobody,,2002,pending,
104,Veneno en la Piel,Radio Futura,Veneno En La Piel,HITSTER - DIY,Playlist,ES5029000015,4oCGALJSQZxLnsnPPgShln,4oCGALJSQZxLnsnPPgShln,spotify:track:4oCGALJSQZxLnsnPPgShln,Veneno En La Piel,,1990,pending,
105,Soy minero,Antonio Molina,Antonio Molina Y El Cine,HITSTER - DIY,Playlist,ES5085505776,2uQPeyP4Y15jrlJbc5SRwm,2uQPeyP4Y15jrlJbc5SRwm,spotify:track:2uQPeyP4Y15jrlJbc5SRwm,Antonio Molina Y El Cine,,1953,pending,
106,Que Hace una Chica Como Tu en un Sitio Como Este,Burning,Burning (Singles Collection),HITSTER - DIY,Playlist,ES5378900011,4kYdaN5ECfrCPPuUUiCiTr,4kYdaN5ECfrCPPuUUiCiTr,spotify:track:4kYdaN5ECfrCPPuUUiCiTr,Burning (Singles Collection),,1978,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
107,Macarena,Los Del Rio,A Mi Me Gusta,HITSTER - DIY,Playlist,ES5109300001,4Y6cDd4EPHcEbiUKdyvNwM,4Y6cDd4EPHcEbiUKdyvNwM,spotify:track:4Y6cDd4EPHcEbiUKdyvNwM,A Mi Me Gusta,,1993,pending,
108,More Than a Feeling,Boston,Boston,HITSTER - DIY,Playlist,USSM17600941,1QEEqeFIZktqIpPI4jSVSF,1QEEqeFIZktqIpPI4jSVSF,spotify:track:1QEEqeFIZktqIpPI4jSVSF,Boston,,1976,pending,
109,Me cuesta tanto olvidarte,Mecano,Entre el Cielo y el Suelo (Bonus Tracks Edition),HITSTER - DIY,Playlist,ES5028600052,1w2Nnj1HEUgoOglVRWfZj8,1w2Nnj1HEUgoOglVRWfZj8,spotify:track:1w2Nnj1HEUgoOglVRWfZj8,Entre el Cielo y el Suelo (Bonus Tracks Edition),,1986,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
110,El Reloj,Los Tres Caballeros,Los Tres Caballeros,HITSTER - DIY,Playlist,MXF365603552,27u17peWruKyUe7RfBglZC,27u17peWruKyUe7RfBglZC,spotify:track:27u17peWruKyUe7RfBglZC,Los Tres Caballeros,,1957,pending,
111,Chica YeYe,Conchita Velasco,Las Coplas de Conchita Velasco,HITSTER - DIY,Playlist,ES5530910337,5P1JgHeCLAgZJx9oiDccza,5P1JgHeCLAgZJx9oiDccza,spotify:track:5P1JgHeCLAgZJx9oiDccza,Las Coplas de Conchita Velasco,,1965,pending,
112,Toosie Slide,Drake,Toosie Slide,HITSTER - DIY,Playlist,USUG12001281,127QTOFJsJQp5LbJbu3A1y,127QTOFJsJQp5LbJbu3A1y,spotify:track:127QTOFJsJQp5LbJbu3A1y,Toosie Slide,,2020,pending,
113,See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),HITSTER - DIY,Playlist,USAT21703595,2JzZzZUQj3Qff7wapcbKjc,2JzZzZUQj3Qff7wapcbKjc,spotify:track:2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),,2015,pending,
114,Jailhouse Rock,Elvis Presley,Elvis' Golden Records,HITSTER - DIY,Playlist,USRC15705223,4gphxUgq0JSFv2BCLhNDiE,4gphxUgq0JSFv2BCLhNDiE,spotify:track:4gphxUgq0JSFv2BCLhNDiE,Elvis' Golden Records,,1957,pending,
115,MALAMENTE - Cap.1: Augurio,ROSALÍA,El Mal Querer,HITSTER - DIY,Playlist,ES5021800275,1B0BQaSRHxhI0AUlItY3LK,1B0BQaSRHxhI0AUlItY3LK,spotify:track:1B0BQaSRHxhI0AUlItY3LK,El Mal Querer,,2018,pending,
116,The Twist,Chubby Checker,Chubby Checker Classics,HITSTER - DIY,Playlist,USI4R0502237,6DSvUZQdqtNfkJI4cAiUsM,6DSvUZQdqtNfkJI4cAiUsM,spotify:track:6DSvUZQdqtNfkJI4cAiUsM,Chubby Checker Classics,,1960,pending,
117,La Camisa Negra,Juanes,Mi Sangre,HITSTER - DIY,Playlist,USUL10400965,2EM9zpAc7PVeoAydmbfVIL,2EM9zpAc7PVeoAydmbfVIL,spotify:track:2EM9zpAc7PVeoAydmbfVIL,Mi Sangre,,2004,pending,
118,Que Nadie,Manuel Carrasco,Inercia,HITSTER - DIY,Playlist,ES5700901468,1Qo29QfhrhhhoniBr1WCDq,1Qo29QfhrhhhoniBr1WCDq,spotify:track:1Qo29QfhrhhhoniBr1WCDq,Inercia,,2008,pending,
119,Cuéntame,Formula V,Ayer Y Hoy,HITSTER - DIY,Playlist,ES5709904337,6buqYaAyimysMjE8yuiaXy,6buqYaAyimysMjE8yuiaXy,spotify:track:6buqYaAyimysMjE8yuiaXy,Ayer Y Hoy,,1969,pending,
120,I Got You (I Feel Good),James Brown & The Famous Flames,I Got You (I Feel Good),HITSTER - DIY,Playlist,USF066625050,5haXbSJqjjM0TCJ5XkfEaC,5haXbSJqjjM0TCJ5XkfEaC,spotify:track:5haXbSJqjjM0TCJ5XkfEaC,I Got You (I Feel Good),,1964,pending,
121,Cuando me siento bien,Efecto Pasillo,Tiembla la tierra,HITSTER - DIY,Playlist,ES24C1507201,2xUl8Bp6eLddk5mdv8I2Wo,2xUl8Bp6eLddk5mdv8I2Wo,spotify:track:2xUl8Bp6eLddk5mdv8I2Wo,Tiembla la tierra,,2015,pending,
122,Mercy,Duffy,Rockferry,HITSTER - DIY,Playlist,GBUM70711275,1zusIxNqJu8i4g6P6hJ2Qa,1zusIxNqJu8i4g6P6hJ2Qa,spotify:track:1zusIxNqJu8i4g6P6hJ2Qa,Rockferry,,2008,pending,
123,El baúl de los recuerdos,Karina,Colores,HITSTER - DIY,Playlist,ES5087003372,1nUsGqyLqbOAnAtduWGNOU,1nUsGqyLqbOAnAtduWGNOU,spotify:track:1nUsGqyLqbOAnAtduWGNOU,Colores,,1969,pending,
124,The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,HITSTER - DIY,Playlist,USAT21001886,1ExfPZEiahqhLyajhybFeS,1ExfPZEiahqhLyajhybFeS,spotify:track:1ExfPZEiahqhLyajhybFeS,Doo-Wops & Hooligans,,2011,pending,
125,Estando Contigo,Conchita Bautista,Por Ti,HITSTER - DIY,Playlist,ES5299200010,5DIovqjO8pCMkA6L1FXrXl,5DIovqjO8pCMkA6L1FXrXl,spotify:track:5DIovqjO8pCMkA6L1FXrXl,Por Ti,,1961,pending,
126,La Puerta de Alcalá,Ana Belén,Grandes Exitos,HITSTER - DIY,Playlist,ES5118601610,29opVIw8I1BOZntEn3Un2I,29opVIw8I1BOZntEn3Un2I,spotify:track:29opVIw8I1BOZntEn3Un2I,Grandes Exitos,,1986,pending,
127,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,HITSTER - DIY,Playlist,USJI10000100,6naxalmIoLFWR0siv8dnQQ,6naxalmIoLFWR0siv8dnQQ,spotify:track:6naxalmIoLFWR0siv8dnQQ,Oops!... I Did It Again,,2000,pending,
128,You Can Get It If You Really Want,Jimmy Cliff,Definitive Collection,HITSTER - DIY,Playlist,GBAPA7000005,3ySFQwBgaHN2mlLxY6A0ic,3ySFQwBgaHN2mlLxY6A0ic,spotify:track:3ySFQwBgaHN2mlLxY6A0ic,Definitive Collection,,1970,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
129,It's My Life,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe),HITSTER - DIY,Playlist,USIR20000145,6iNBM60VQtPUUhkKfwa5KV,6iNBM60VQtPUUhkKfwa5KV,spotify:track:6iNBM60VQtPUUhkKfwa5KV,Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe),,2000,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
130,Eloise,Tino Casal,Lágrimas De Cocodrilo,HITSTER - DIY,Playlist,ES5088806516,16k0xwujtU1eoSLEfofWQ8,16k0xwujtU1eoSLEfofWQ8,spotify:track:16k0xwujtU1eoSLEfofWQ8,Lágrimas De Cocodrilo,,1987,pending,
131,¿Y Cómo Es Él?,José Luis Perales,Entre El Agua Y El Fuego,HITSTER - DIY,Playlist,ES5098200431,7aSxNjoVoAwNL7HDAKwGtC,7aSxNjoVoAwNL7HDAKwGtC,spotify:track:7aSxNjoVoAwNL7HDAKwGtC,Entre El Agua Y El Fuego,,1982,pending,
132,Call on Me - Radio Mix,Eric Prydz,Call on Me (Radio Mix),HITSTER - DIY,Playlist,GBCEN0400130,1xNcBAoUw8Hz6LqK2jt4Ff,1xNcBAoUw8Hz6LqK2jt4Ff,spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff,Call on Me (Radio Mix),,2004,pending,
133,Rosas,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,HITSTER - DIY,Playlist,ES5110304435,4waqcUQWdj0yH26STWl2Rq,4waqcUQWdj0yH26STWl2Rq,spotify:track:4waqcUQWdj0yH26STWl2Rq,Lo Que Te Conte Mientras Te Hacias La Dormida,,2003,pending,
134,Like a Prayer,Madonna,Celebration (double disc version),HITSTER - DIY,Playlist,USWB10903606,1z3ugFmUKoCzGsI6jdY4Ci,1z3ugFmUKoCzGsI6jdY4Ci,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,Celebration (double disc version),,1989,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
135,Vivir Sin Aire,Maná,¿Dónde Jugarán Los Niños?,HITSTER - DIY,Playlist,MXF159200063,3G9RQLOSjsXVUDyQSv2PQR,3G9RQLOSjsXVUDyQSv2PQR,spotify:track:3G9RQLOSjsXVUDyQSv2PQR,¿Dónde Jugarán Los Niños?,,1992,pending,
136,Killing Me Softly With His Song,Fugees,The Score (Expanded Edition),HITSTER - DIY,Playlist,USSM19600055,0Q0IVlqMV64kNLlwjPj0Hl,0Q0IVlqMV64kNLlwjPj0Hl,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,The Score (Expanded Edition),,1996,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
137,Bailando,Alaska Y Los Pegamoides,Grandes Éxitos - Edición Para Coleccionistas,HITSTER - DIY,Playlist,ES5080600626,0OteyYh6inrfcil1XGwC3r,0OteyYh6inrfcil1XGwC3r,spotify:track:0OteyYh6inrfcil1XGwC3r,Grandes Éxitos - Edición Para Coleccionistas,,1982,pending,
138,High (Remix),Maria Becerra,High (Remix),HITSTER - DIY,Playlist,QMCE32000430,2HpbDdD3JLpAPMJFYCeC6o,2HpbDdD3JLpAPMJFYCeC6o,spotify:track:2HpbDdD3JLpAPMJFYCeC6o,High (Remix),,2020,pending,
139,Right Here Waiting,Richard Marx,Repeat Offender,HITSTER - DIY,Playlist,USEM38900208,4LFwNJWoj74Yd71fIr1W8x,4LFwNJWoj74Yd71fIr1W8x,spotify:track:4LFwNJWoj74Yd71fIr1W8x,Repeat Offender,,1989,pending,
140,No Controles,Ole Ole,Grandes Exitos,HITSTER - DIY,Playlist,ES5119902452,1suKCYjsR9rZKnFYM5uK1k,1suKCYjsR9rZKnFYM5uK1k,spotify:track:1suKCYjsR9rZKnFYM5uK1k,Grandes Exitos,,1983,pending,
141,Flying Free - Original Mix,Pont Aeri,"Pont Aeri, Vol. 4 EP",HITSTER - DIY,Playlist,ES5379900141,5yqiverYlKEA0ly96HPq01,5yqiverYlKEA0ly96HPq01,spotify:track:5yqiverYlKEA0ly96HPq01,"Pont Aeri, Vol. 4 EP",,1999,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
142,One More Time - Radio Edit,Daft Punk,One More Time,HITSTER - DIY,Playlist,GBDUW0000054,2Uy6EhQXAYkXA6MohPgjpV,2Uy6EhQXAYkXA6MohPgjpV,spotify:track:2Uy6EhQXAYkXA6MohPgjpV,One More Time,,2000,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
143,Mambo No. 5 (a Little Bit of...),Lou Bega,A Little Bit of Mambo,HITSTER - DIY,Playlist,DEH259900010,6x4tKaOzfNJpEJHySoiJcs,6x4tKaOzfNJpEJHySoiJcs,spotify:track:6x4tKaOzfNJpEJHySoiJcs,A Little Bit of Mambo,,1999,pending,
144,Bésame Mucho,Emilio Tuero,El Barítono de Argel,HITSTER - DIY,Playlist,MXF019200289,1PpOqYZsUCecuOfLELmgOI,1PpOqYZsUCecuOfLELmgOI,spotify:track:1PpOqYZsUCecuOfLELmgOI,El Barítono de Argel,,1941,pending,
145,Para No Verte Más,La Mosca,Visperas De Carnaval,HITSTER - DIY,Playlist,ARF049900032,19CmuECYssqkPWANF4nLWM,19CmuECYssqkPWANF4nLWM,spotify:track:19CmuECYssqkPWANF4nLWM,Visperas De Carnaval,,1999,pending,
146,Surfin' U.S.A. (Mono),The Beach Boys,Surfin' USA (Mono & Stereo),HITSTER - DIY,Playlist,USCA21201943,2dbaIpJoAk2hhrrX2ljKJo,2dbaIpJoAk2hhrrX2ljKJo,spotify:track:2dbaIpJoAk2hhrrX2ljKJo,Surfin' USA (Mono & Stereo),,1963,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
147,Nel Blu Dipinto Di Blu,Domenico Modugno,Nel Blu Dipinto Di Blu,HITSTER - DIY,Playlist,USA560766736,5zyrEv4F3FaLECI8TOKpFM,5zyrEv4F3FaLECI8TOKpFM,spotify:track:5zyrEv4F3FaLECI8TOKpFM,Nel Blu Dipinto Di Blu,,1958,pending,
148,DÁKITI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,HITSTER - DIY,Playlist,QMFME2004132,4MzXwWMhyBbmu6hOcLVD49,4MzXwWMhyBbmu6hOcLVD49,spotify:track:4MzXwWMhyBbmu6hOcLVD49,EL ÚLTIMO TOUR DEL MUNDO,,2020,pending,
149,Tú Me Dejaste De Querer,C. Tangana,El Madrileño,HITSTER - DIY,Playlist,ES5022000718,5ddFjrPG8NgQQ6xlOQIVd2,5ddFjrPG8NgQQ6xlOQIVd2,spotify:track:5ddFjrPG8NgQQ6xlOQIVd2,El Madrileño,,2020,pending,
150,Vivir Mi Vida,Marc Anthony,3.0,HITSTER - DIY,Playlist,USSD11300112,3QHMxEOAGD51PDlbFPHLyJ,3QHMxEOAGD51PDlbFPHLyJ,spotify:track:3QHMxEOAGD51PDlbFPHLyJ,3.0,,2013,pending,
151,Work,Rihanna,ANTI (Deluxe),HITSTER - DIY,Playlist,QM5FT1600116,72TFWvU3wUYdUuxejTTIzt,72TFWvU3wUYdUuxejTTIzt,spotify:track:72TFWvU3wUYdUuxejTTIzt,ANTI (Deluxe),,2016,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
152,Sobreviviré,Monica Naranjo,Renaissance (Boxset),HITSTER - DIY,Playlist,ES5110002561,5WovBMPS14QCqKgBEM1PaO,5WovBMPS14QCqKgBEM1PaO,spotify:track:5WovBMPS14QCqKgBEM1PaO,Renaissance (Boxset),,2000,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
153,Carolina,M-Clan,Salir De Marcha,HITSTER - DIY,Playlist,ES5010019001,0yUsNnKCxe7r68qzEjbOaB,0yUsNnKCxe7r68qzEjbOaB,spotify:track:0yUsNnKCxe7r68qzEjbOaB,Salir De Marcha,,2001,pending,
154,Don't Leave Me This Way,Thelma Houston,Any Way You Like It,HITSTER - DIY,Playlist,USUM71303881,51qi5dgc9CsotM87GmRkAX,51qi5dgc9CsotM87GmRkAX,spotify:track:51qi5dgc9CsotM87GmRkAX,Any Way You Like It,,1976,pending,
155,Disco Inferno,The Trammps,Disco Inferno,HITSTER - DIY,Playlist,USAT27600009,5jUA1njy3h6ynHLvPdEVHt,5jUA1njy3h6ynHLvPdEVHt,spotify:track:5jUA1njy3h6ynHLvPdEVHt,Disco Inferno,,1976,pending,
156,Usted,Juan Magán,Usted,HITSTER - DIY,Playlist,ES5701800180,79HTe42PihWUUq4BDjcuCq,79HTe42PihWUUq4BDjcuCq,spotify:track:79HTe42PihWUUq4BDjcuCq,Usted,,2018,pending,
157,Torn,Natalie Imbruglia,Left Of The Middle,HITSTER - DIY,Playlist,GBARL9700412,1Jaah2tmN9Hv81A87KZ1MU,1Jaah2tmN9Hv81A87KZ1MU,spotify:track:1Jaah2tmN9Hv81A87KZ1MU,Left Of The Middle,,1997,pending,
158,Gimme Hope Jo'Anna,Eddy Grant,Gimme Hope Jo'Anna,HITSTER - DIY,Playlist,GBQRF0846342,09lZ2Mx2NSpzy6KBpX2kDq,09lZ2Mx2NSpzy6KBpX2kDq,spotify:track:09lZ2Mx2NSpzy6KBpX2kDq,Gimme Hope Jo'Anna,,1988,pending,
159,Piano Man,Billy Joel,Piano Man,HITSTER - DIY,Playlist,USSM17300504,78WVLOP9pN0G3gRLFy1rAa,78WVLOP9pN0G3gRLFy1rAa,spotify:track:78WVLOP9pN0G3gRLFy1rAa,Piano Man,,1973,pending,
160,Get Back - Remastered 2009,The Beatles,Let It Be (Remastered),HITSTER - DIY,Playlist,GBAYE0601719,4MLBqAEzNN89o2M9h92Z26,4MLBqAEzNN89o2M9h92Z26,spotify:track:4MLBqAEzNN89o2M9h92Z26,Let It Be (Remastered),,1969,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
161,Eres Tú,Mocedades,Grandes Exitos,HITSTER - DIY,Playlist,ES5107300008,08HeIb9BidFjKROf9ptln0,08HeIb9BidFjKROf9ptln0,spotify:track:08HeIb9BidFjKROf9ptln0,Grandes Exitos,,1973,pending,
162,Born to Be Alive - The Original,Patrick Hernandez,Born to Be Alive (The Original),HITSTER - DIY,Playlist,FRX957900007,3XIEWK1V9n25PS9Vb6axj5,3XIEWK1V9n25PS9Vb6axj5,spotify:track:3XIEWK1V9n25PS9Vb6axj5,Born to Be Alive (The Original),,1978,pending,
163,Devuélveme a mi chica,Hombres G,Hombres G (Edición 30 Aniversario),HITSTER - DIY,Playlist,ES5018572005,1Wrzhfa5bNlqvsnCztz190,1Wrzhfa5bNlqvsnCztz190,spotify:track:1Wrzhfa5bNlqvsnCztz190,Hombres G (Edición 30 Aniversario),,1985,pending,
164,Karma Chameleon,Culture Club,Colour By Numbers,HITSTER - DIY,Playlist,GBAAA8300010,3XDeeP9wBZzGhIPZmLfEEx,3XDeeP9wBZzGhIPZmLfEEx,spotify:track:3XDeeP9wBZzGhIPZmLfEEx,Colour By Numbers,,1983,pending,
165,Walk Like an Egyptian,The Bangles,The Essential Bangles,HITSTER - DIY,Playlist,USSM18500592,1Jwc3ODLQxtbnS8M9TflSP,1Jwc3ODLQxtbnS8M9TflSP,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,The Essential Bangles,,1986,pending,
166,You Can't Hurry Love,The Supremes,Supremes A Go Go,HITSTER - DIY,Playlist,USMO16600346,4H1iMlEWKZmpKTHCZzDhju,4H1iMlEWKZmpKTHCZzDhju,spotify:track:4H1iMlEWKZmpKTHCZzDhju,Supremes A Go Go,,1966,pending,
167,Tenía Tanto Que Darte,Nena Daconte,Retales De Carnaval,HITSTER - DIY,Playlist,ES5700802725,3Th2of8xIYyImVLXUbzaTp,3Th2of8xIYyImVLXUbzaTp,spotify:track:3Th2of8xIYyImVLXUbzaTp,Retales De Carnaval,,2008,pending,
168,Mala Vida,Mano Negra,Patchanka,HITSTER - DIY,Playlist,FRZ189800138,0UY0JLj9kxOlgF6FHogCmX,0UY0JLj9kxOlgF6FHogCmX,spotify:track:0UY0JLj9kxOlgF6FHogCmX,Patchanka,,1988,pending,
169,Gangsta's Paradise,Coolio,Gangsta's Paradise,HITSTER - DIY,Playlist,USTB10400128,7lQWRAjyhTpCWFC0jmclT4,7lQWRAjyhTpCWFC0jmclT4,spotify:track:7lQWRAjyhTpCWFC0jmclT4,Gangsta's Paradise,,1995,pending,
170,Euphoria,Loreen,Heal,HITSTER - DIY,Playlist,SEPQA1201986,2knr7ikPt4l7bk92qS4ZXW,2knr7ikPt4l7bk92qS4ZXW,spotify:track:2knr7ikPt4l7bk92qS4ZXW,Heal,,2012,pending,
171,Moving,Macaco,Puerto Presente,HITSTER - DIY,Playlist,ESD010800114,2wvmkXG4foIJ2xUiwLhBjA,2wvmkXG4foIJ2xUiwLhBjA,spotify:track:2wvmkXG4foIJ2xUiwLhBjA,Puerto Presente,,2008,pending,
172,Barcelona,Freddie Mercury,Messenger Of The Gods: The Singles Collection,HITSTER - DIY,Playlist,GBUM71602657,3BdId1EhcMX7yAzwzQJLAD,3BdId1EhcMX7yAzwzQJLAD,spotify:track:3BdId1EhcMX7yAzwzQJLAD,Messenger Of The Gods: The Singles Collection,,1987,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
173,Daddy Cool,Boney M.,Take The Heat Off Me,HITSTER - DIY,Playlist,DEC737600002,3WMbD1OyfKuwWDWMNbPQ4g,3WMbD1OyfKuwWDWMNbPQ4g,spotify:track:3WMbD1OyfKuwWDWMNbPQ4g,Take The Heat Off Me,,1976,pending,
174,Moves Like Jagger,Maroon 5,Singles,HITSTER - DIY,Playlist,USUM71109132,1r299qCKBLgUS9XJ9m1kEx,1r299qCKBLgUS9XJ9m1kEx,spotify:track:1r299qCKBLgUS9XJ9m1kEx,Singles,,2011,pending,
175,No Woman No Cry,Bob Marley & The Wailers,Natty Dread,HITSTER - DIY,Playlist,GBAAN7490002,3PQLYVskjUeRmRIfECsL0X,3PQLYVskjUeRmRIfECsL0X,spotify:track:3PQLYVskjUeRmRIfECsL0X,Natty Dread,,1974,pending,
176,Te Estoy Amando Locamente,Las Grecas,Te Estoy Amando Locamente,HITSTER - DIY,Playlist,ES5117400004,5QfmCmdL4qnzqMz5Z0gvzV,5QfmCmdL4qnzqMz5Z0gvzV,spotify:track:5QfmCmdL4qnzqMz5Z0gvzV,Te Estoy Amando Locamente,,1973,pending,
177,Señorita,Shawn Mendes,Señorita,HITSTER - DIY,Playlist,USUM71911283,0TK2YIli7K1leLovkQiNik,0TK2YIli7K1leLovkQiNik,spotify:track:0TK2YIli7K1leLovkQiNik,Señorita,,2019,pending,
178,Believe,Cher,Believe,HITSTER - DIY,Playlist,GBAHT9803002,2goLsvvODILDzeeiT4dAoR,2goLsvvODILDzeeiT4dAoR,spotify:track:2goLsvvODILDzeeiT4dAoR,Believe,,1998,pending,
179,Crazy In Love (feat. JAY-Z),Beyoncé,Dangerously In Love,HITSTER - DIY,Playlist,USSM10305425,5IVuqXILoxVWvWEPm82Jxr,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,Dangerously In Love,,2003,pending,
180,Me encanta - I Love It,Nancys Rubias,Me encanta (I love it),HITSTER - DIY,Playlist,ES5151300892,1kgBwPl0UUHz97Krp65zF4,1kgBwPl0UUHz97Krp65zF4,spotify:track:1kgBwPl0UUHz97Krp65zF4,Me encanta (I love it),,2013,pending,
181,Party Rock Anthem,LMFAO,Sorry For Party Rocking,HITSTER - DIY,Playlist,USUM71100061,7mitXLIMCflkhZiD34uEQI,7mitXLIMCflkhZiD34uEQI,spotify:track:7mitXLIMCflkhZiD34uEQI,Sorry For Party Rocking,,2011,pending,
182,Cannabis,Ska-P,El Vals Del Obrero,HITSTER - DIY,Playlist,ES5029601034,0DjSa6czo5ywsf6iCtZW5A,0DjSa6czo5ywsf6iCtZW5A,spotify:track:0DjSa6czo5ywsf6iCtZW5A,El Vals Del Obrero,,1996,pending,
183,El Secreto de las Tortugas,Maldita Nerea,Es un Secreto...No Se Lo Digas a Nadie,HITSTER - DIY,Playlist,ES8580700093,1sMgCr1RH0HfAazVZt9xmZ,1sMgCr1RH0HfAazVZt9xmZ,spotify:track:1sMgCr1RH0HfAazVZt9xmZ,Es un Secreto...No Se Lo Digas a Nadie,,2007,pending,
184,Counting Stars,OneRepublic,Native,HITSTER - DIY,Playlist,USUM71301306,2tpWsVSb9UEmDRxAl1zhX1,2tpWsVSb9UEmDRxAl1zhX1,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,Native,,2013,pending,
